אורתופדיה אחרי דה-דופליקציה,Trimmed,,ProcedureBody - HTML,ProcedurePreview - String (MAX-LENGTH: 140 CHAR),ProcedureHeader -String (MAX-LENGTH: 30 CHAR),Preview length,ID,Header length,New ProcedureHeader (if long etc.),New name length
בעיות כף רגל וקרסול,בעיות כף רגל וקרסול,627,"<div class=""procedure-content"">
<h3 class=""procedure-head"">סוגי בעיות נפוצות בכף הרגל ובקרסול</h3>
<ul class=""procedure-ul"">
<li class=""procedure-li"">דורבן בעקב</li>
<li class=""procedure-li"">פסציאיטיס פלנטרית</li>
<li class=""procedure-li"">בוניון (הלוקס ולגוס)</li>
<li class=""procedure-li"">נקע קרסול</li>
<li class=""procedure-li"">דלקת גיד אכילס</li>
</ul>
<h3 class=""procedure-head"">שיטות אבחון</h3>
<ol class=""procedure-ol"">
<li class=""procedure-li"">בדיקה גופנית מקיפה</li>
<li class=""procedure-li"">הדמיה: רנטגן, CT, MRI</li>
<li class=""procedure-li"">בדיקת לחץ כף רגל</li>
<li class=""procedure-li"">אולטרסאונד במקרים מסוימים</li>
</ol>
<h3 class=""procedure-head"">אפשרויות טיפול</h3>
<p class=""procedure-para"">הטיפול בבעיות כף רגל וקרסול מותאם לסוג הבעיה וחומרתה:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">טיפול שמרני: מנוחה, קרח, תרגילי מתיחה</li>
<li class=""procedure-li"">שימוש במדרסים או נעליים אורתופדיות</li>
<li class=""procedure-li"">פיזיותרפיה</li>
<li class=""procedure-li"">טיפול תרופתי לשיכוך כאבים והפחתת דלקת</li>
<li class=""procedure-li"">הזרקות סטרואידים</li>
<li class=""procedure-li"">טיפול בגלי הלם</li>
<li class=""procedure-li"">ניתוח במקרים מסוימים</li>
</ul>
<h3 class=""procedure-head"">מניעה וטיפול עצמי</h3>
<p class=""procedure-para"">ניתן להפחית את הסיכון לבעיות בכף הרגל ובקרסול על ידי:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">שימוש בנעליים מתאימות ותומכות</li>
<li class=""procedure-li"">שמירה על משקל גוף תקין</li>
<li class=""procedure-li"">חיזוק שרירי כף הרגל והקרסול</li>
<li class=""procedure-li"">הימנעות מפעילות יתר פתאומית</li>
</ul>
</div>
","בעיות כף רגל וקרסול: כוללות דורבן, בוניון ונקעים. טיפול מותאם אישית, מניעה ע""י נעליים מתאימות וחיזוק שרירים.",בעיות כף רגל וקרסול,108,#N/A,19,,0
גבס קל,גבס קל,693,"<div class=""procedure-content"">
<h3 class=""procedure-head"">מהו גבס קל?</h3>
<p class=""procedure-para"">גבס קל הוא חומר סינתטי המשמש לקיבוע ותמיכה בעצמות ומפרקים פגועים. הוא קל יותר, נושם יותר ועמיד למים בהשוואה לגבס המסורתי.</p>
<h3 class=""procedure-head"">יתרונות הגבס הקל</h3>
<ul class=""procedure-ul"">
<li class=""procedure-li"">משקל נמוך יותר</li>
<li class=""procedure-li"">נוחות מוגברת למטופל</li>
<li class=""procedure-li"">עמידות למים</li>
<li class=""procedure-li"">אוורור טוב יותר של העור</li>
<li class=""procedure-li"">זמן התקשות מהיר</li>
</ul>
<h3 class=""procedure-head"">מצבים רפואיים מתאימים</h3>
<ol class=""procedure-ol"">
<li class=""procedure-li"">שברים קלים</li>
<li class=""procedure-li"">נקעים</li>
<li class=""procedure-li"">מתיחות רצועות</li>
<li class=""procedure-li"">לאחר ניתוחים אורתופדיים מסוימים</li>
</ol>
<h3 class=""procedure-head"">תהליך היישום</h3>
<p class=""procedure-para"">יישום הגבס הקל דומה לגבס רגיל, אך מהיר יותר:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">מדידה והתאמה של החומר</li>
<li class=""procedure-li"">הרטבת החומר להפעלת התגובה הכימית</li>
<li class=""procedure-li"">יישום על האזור הפגוע</li>
<li class=""procedure-li"">עיצוב וקיבוע בצורה הרצויה</li>
</ul>
<h3 class=""procedure-head"">טיפול והנחיות למטופל</h3>
<p class=""procedure-para"">למרות עמידותו למים, יש לשמור על הגבס הקל:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">הימנעות מהרטבה ממושכת</li>
<li class=""procedure-li"">שמירה על ניקיון</li>
<li class=""procedure-li"">דיווח על כאב או אי נוחות חריגים</li>
<li class=""procedure-li"">הקפדה על ביקורות רפואיות קבועות</li>
</ul>
</div>
","גבס קל: חומר סינתטי קל ונושם לקיבוע שברים ונקעים. עמיד למים, נוח יותר מגבס רגיל ומאפשר החלמה יעילה.",גבס קל,99,693,6,,0
גיד אכילס,גיד אכילס,698,"<div class=""procedure-content"">
<h3 class=""procedure-head"">מהו גיד אכילס?</h3>
<p class=""procedure-para"">גיד אכילס הוא הגיד החזק והגדול ביותר בגוף האדם, המחבר את שרירי השוקה לעצם העקב.</p>
<h3 class=""procedure-head"">בעיות נפוצות בגיד אכילס</h3>
<ul class=""procedure-ul"">
<li class=""procedure-li"">דלקת בגיד (טנדיניטיס)</li>
<li class=""procedure-li"">קרע חלקי או מלא של הגיד</li>
<li class=""procedure-li"">טנדינוזיס (ניוון הגיד)</li>
</ul>
<h3 class=""procedure-head"">גורמי סיכון</h3>
<ol class=""procedure-ol"">
<li class=""procedure-li"">פעילות גופנית מוגברת או פתאומית</li>
<li class=""procedure-li"">גיל מתקדם</li>
<li class=""procedure-li"">שימוש בתרופות מסוימות (כגון אנטיביוטיקה מסוג פלואורוקווינולונים)</li>
<li class=""procedure-li"">מבנה כף רגל לא מאוזן</li>
</ol>
<h3 class=""procedure-head"">אפשרויות טיפול</h3>
<p class=""procedure-para"">הטיפול בבעיות בגיד אכילס תלוי בחומרת הפגיעה:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">מנוחה והפחתת עומס</li>
<li class=""procedure-li"">פיזיותרפיה ותרגילי מתיחה</li>
<li class=""procedure-li"">שימוש בעקבייה או מדרסים</li>
<li class=""procedure-li"">טיפול תרופתי נוגד דלקת</li>
<li class=""procedure-li"">טיפול בגלי הלם</li>
<li class=""procedure-li"">ניתוח במקרים של קרע מלא או בעיות כרוניות</li>
</ul>
<h3 class=""procedure-head"">מניעה</h3>
<p class=""procedure-para"">ניתן להפחית את הסיכון לפגיעות בגיד אכילס על ידי:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">חימום נכון לפני פעילות גופנית</li>
<li class=""procedure-li"">הגברה הדרגתית של עצימות האימונים</li>
<li class=""procedure-li"">שימוש בנעליים מתאימות</li>
<li class=""procedure-li"">חיזוק שרירי השוק</li>
</ul>
</div>
","גיד אכילס: הגיד החזק ביותר בגוף. טיפול בבעיות כולל מנוחה, פיזיותרפיה וניתוח במקרים חמורים. מניעה ע""י חימום ואימון נכון.",גיד אכילס,119,698,9,,0
גיד אכילס ותסמונת מדור במאמץ,גיד אכילס ותסמונת מדור במאמץ,699,"<div class=""procedure-content"">
<h3 class=""procedure-head"">הקשר בין גיד אכילס ותסמונת מדור במאמץ</h3>
<p class=""procedure-para"">גיד אכילס ותסמונת מדור במאמץ הם שני מצבים שעלולים להופיע יחד, במיוחד אצל רצים ואתלטים.</p>
<h3 class=""procedure-head"">תסמונת מדור במאמץ</h3>
<ul class=""procedure-ul"">
<li class=""procedure-li"">לחץ מוגבר בתוך קבוצת שרירים</li>
<li class=""procedure-li"">גורם לכאב, נימול ותחושת מתיחה</li>
<li class=""procedure-li"">שכיח בשוקיים</li>
</ul>
<h3 class=""procedure-head"">סימפטומים משולבים</h3>
<ol class=""procedure-ol"">
<li class=""procedure-li"">כאב בשוק ובעקב</li>
<li class=""procedure-li"">נוקשות בגיד אכילס</li>
<li class=""procedure-li"">חולשה בכף הרגל</li>
<li class=""procedure-li"">תחושת לחץ בשרירי השוק</li>
</ol>
<h3 class=""procedure-head"">אבחון</h3>
<p class=""procedure-para"">האבחון מתבצע באמצעות:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">בדיקה גופנית מקיפה</li>
<li class=""procedure-li"">מדידת לחץ תוך-שרירי</li>
<li class=""procedure-li"">הדמיה: MRI או אולטרסאונד</li>
</ul>
<h3 class=""procedure-head"">טיפול משולב</h3>
<p class=""procedure-para"">הטיפול מתמקד בשני המצבים:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">מנוחה והפחתת פעילות</li>
<li class=""procedure-li"">פיזיותרפיה ותרגילי מתיחה ייעודיים</li>
<li class=""procedure-li"">שינוי בטכניקת הריצה</li>
<li class=""procedure-li"">שימוש בנעליים ומדרסים מתאימים</li>
<li class=""procedure-li"">במקרים חמורים: ניתוח לשחרור המדור</li>
</ul>
<h3 class=""procedure-head"">מניעה והחלמה</h3>
<p class=""procedure-para"">להפחתת הסיכון ולשיפור ההחלמה:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">הגברה הדרגתית של עצימות האימונים</li>
<li class=""procedure-li"">שילוב אימוני כוח וגמישות</li>
<li class=""procedure-li"">הקפדה על תזונה ושתייה מאוזנת</li>
<li class=""procedure-li"">מנוחה מספקת בין אימונים</li>
</ul>
</div>
","גיד אכילס ותסמונת מדור במאמץ: מצבים הקשורים לפעילות גופנית מוגברת. טיפול כולל מנוחה, פיזיותרפיה ושינוי בטכניקת הריצה.
",גיד אכילס ותסמונת מדור במאמץ,118,#N/A,28,,0
גידולי עצם בילדים,גידולי עצם בילדים,712,"<div class=""procedure-content"">
<h3 class=""procedure-head"">סוגי גידולי עצם בילדים</h3>
<p class=""procedure-para"">גידולי עצם בילדים יכולים להיות שפירים או ממאירים, כאשר הרוב הם שפירים.</p>
<h3 class=""procedure-head"">גידולים שפירים נפוצים</h3>
<ul class=""procedure-ul"">
<li class=""procedure-li"">אוסטאוכונדרומה</li>
<li class=""procedure-li"">ציסטה עצמית פשוטה</li>
<li class=""procedure-li"">פיברוזה לא מאוסיפיקנטית</li>
<li class=""procedure-li"">גידול תאי ענק</li>
</ul>
<h3 class=""procedure-head"">גידולים ממאירים</h3>
<ol class=""procedure-ol"">
<li class=""procedure-li"">אוסטאוסרקומה</li>
<li class=""procedure-li"">סרקומה ע""ש יואינג</li>
<li class=""procedure-li"">כונדרוסרקומה</li>
</ol>
<h3 class=""procedure-head"">סימנים ותסמינים</h3>
<p class=""procedure-para"">סימנים אפשריים לגידול עצם בילדים כוללים:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">כאב מקומי, במיוחד בלילה</li>
<li class=""procedure-li"">נפיחות או גוש</li>
<li class=""procedure-li"">הגבלה בתנועה</li>
<li class=""procedure-li"">שברים פתולוגיים</li>
</ul>
<h3 class=""procedure-head"">אבחון</h3>
<p class=""procedure-para"">תהליך האבחון כולל:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">בדיקה גופנית מקיפה</li>
<li class=""procedure-li"">צילומי רנטגן</li>
<li class=""procedure-li"">CT או MRI</li>
<li class=""procedure-li"">ביופסיה לקביעת סוג הגידול</li>
</ul>
<h3 class=""procedure-head"">אפשרויות טיפול</h3>
<p class=""procedure-para"">הטיפול תלוי בסוג הגידול וחומרתו:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">מעקב בלבד עבור גידולים שפירים קטנים</li>
<li class=""procedure-li"">ניתוח להסרת הגידול</li>
<li class=""procedure-li"">כימותרפיה ו/או הקרנות לגידולים ממאירים</li>
<li class=""procedure-li"">טיפולים חדשניים כגון אימונותרפיה</li>
</ul>
</div>
","גידולי עצם בילדים: רובם שפירים. אבחון כולל הדמיה וביופסיה. טיפול מותאם אישית, מעקב בלבד עד ניתוח וכימותרפיה במקרים ממאירים.",גידולי עצם בילדים,123,712,17,,0
גידולים ביד,גידולים ביד,717,"<div class=""procedure-content"">
<h3 class=""procedure-head"">סוגי גידולים ביד</h3>
<p class=""procedure-para"">גידולים ביד יכולים להיות שפירים או ממאירים, כאשר הרוב המכריע הם שפירים.</p>
<h3 class=""procedure-head"">גידולים שפירים נפוצים</h3>
<ul class=""procedure-ul"">
<li class=""procedure-li"">גנגליון</li>
<li class=""procedure-li"">ליפומה</li>
<li class=""procedure-li"">גידול תאי ענק</li>
<li class=""procedure-li"">אוסטאוכונדרומה</li>
</ul>
<h3 class=""procedure-head"">סימנים ותסמינים</h3>
<ol class=""procedure-ol"">
<li class=""procedure-li"">גוש או נפיחות ביד או באצבעות</li>
<li class=""procedure-li"">כאב או רגישות באזור הגידול</li>
<li class=""procedure-li"">הגבלה בתנועה</li>
<li class=""procedure-li"">שינויים בעור מעל הגידול</li>
</ol>
<h3 class=""procedure-head"">אבחון</h3>
<p class=""procedure-para"">האבחון של גידולים ביד כולל:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">בדיקה גופנית מקיפה</li>
<li class=""procedure-li"">צילומי רנטגן</li>
<li class=""procedure-li"">MRI או CT לפי הצורך</li>
<li class=""procedure-li"">ביופסיה במקרים מסוימים</li>
</ul>
<h3 class=""procedure-head"">אפשרויות טיפול</h3>
<p class=""procedure-para"">הטיפול בגידולים ביד תלוי בסוג הגידול וחומרתו:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">מעקב בלבד עבור גידולים שפירים קטנים</li>
<li class=""procedure-li"">ניתוח להסרת הגידול</li>
<li class=""procedure-li"">טיפול בלייזר או הקפאה בקריותרפיה</li>
<li class=""procedure-li"">במקרים נדירים של גידולים ממאירים: כימותרפיה או הקרנות</li>
</ul>
</div>
","גידולים ביד: רובם שפירים. אבחון כולל בדיקה גופנית והדמיה. טיפול מותאם אישית, מעקב עד ניתוח להסרת הגידול.",גידולים ביד,104,717,11,,0
גלי הלם,גלי הלם,750,"<div class=""procedure-content"">
<h3 class=""procedure-head"">מהם גלי הלם?</h3>
<p class=""procedure-para"">גלי הלם הם טיפול לא פולשני המשתמש בגלי קול בעוצמה גבוהה לטיפול בכאבים ובעיות אורתופדיות שונות.</p>
<h3 class=""procedure-head"">מצבים מטופלים</h3>
<ul class=""procedure-ul"">
<li class=""procedure-li"">דורבן בעקב</li>
<li class=""procedure-li"">טנדיניטיס בכתף</li>
<li class=""procedure-li"">מרפק טניס</li>
<li class=""procedure-li"">דלקת בגיד אכילס</li>
</ul>
<h3 class=""procedure-head"">תהליך הטיפול</h3>
<ol class=""procedure-ol"">
<li class=""procedure-li"">זיהוי האזור הפגוע</li>
<li class=""procedure-li"">מריחת ג'ל על העור</li>
<li class=""procedure-li"">הנחת מכשיר גלי ההלם על האזור</li>
<li class=""procedure-li"">העברת גלי הלם למשך מספר דקות</li>
</ol>
<h3 class=""procedure-head"">יתרונות הטיפול</h3>
<p class=""procedure-para"">טיפול בגלי הלם מציע מספר יתרונות:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">לא פולשני ואינו דורש הרדמה</li>
<li class=""procedure-li"">זמן החלמה קצר</li>
<li class=""procedure-li"">יעיל במקרים של כאב כרוני</li>
<li class=""procedure-li"">מפחית את הצורך בניתוח</li>
</ul>
<h3 class=""procedure-head"">תופעות לוואי אפשריות</h3>
<p class=""procedure-para"">תופעות הלוואי בדרך כלל קלות וחולפות:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">אי נוחות קלה במהלך הטיפול</li>
<li class=""procedure-li"">אדמומיות או נפיחות באזור המטופל</li>
<li class=""procedure-li"">כאב זמני לאחר הטיפול</li>
</ul>
</div>
","גלי הלם: טיפול לא פולשני לבעיות אורתופדיות. יעיל לכאב כרוני, מפחית צורך בניתוח. תופעות לוואי קלות וחולפות.
",גלי הלם,107,750,7,,0
דורבן,דורבן,805,"<div class=""procedure-content"">
<h3 class=""procedure-head"">מהו דורבן?</h3>
<p class=""procedure-para"">דורבן הוא צמיחת עצם קטנה בעקב הרגל, הגורמת לכאב ואי נוחות, בעיקר בזמן הליכה או עמידה ממושכת.</p>
<h3 class=""procedure-head"">גורמים אפשריים</h3>
<ul class=""procedure-ul"">
<li class=""procedure-li"">לחץ מתמשך על העקב</li>
<li class=""procedure-li"">פסציאיטיס פלנטרית</li>
<li class=""procedure-li"">עודף משקל</li>
<li class=""procedure-li"">נעליים לא מתאימות</li>
</ul>
<h3 class=""procedure-head"">תסמינים</h3>
<ol class=""procedure-ol"">
<li class=""procedure-li"">כאב חד בעקב, בעיקר בבוקר</li>
<li class=""procedure-li"">כאב המחמיר לאחר ישיבה ממושכת</li>
<li class=""procedure-li"">תחושת דקירה או צריבה בעקב</li>
</ol>
<h3 class=""procedure-head"">אבחון</h3>
<p class=""procedure-para"">האבחון של דורבן כולל:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">בדיקה גופנית</li>
<li class=""procedure-li"">צילום רנטגן</li>
<li class=""procedure-li"">במקרים מסוימים, MRI או אולטרסאונד</li>
</ul>
<h3 class=""procedure-head"">אפשרויות טיפול</h3>
<p class=""procedure-para"">הטיפול בדורבן מתחיל בדרך כלל באמצעים שמרניים:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">מתיחות ותרגילי חיזוק</li>
<li class=""procedure-li"">שימוש במדרסים או רפידות עקב</li>
<li class=""procedure-li"">טיפול תרופתי נוגד דלקת</li>
<li class=""procedure-li"">פיזיותרפיה</li>
<li class=""procedure-li"">טיפול בגלי הלם</li>
<li class=""procedure-li"">במקרים נדירים, ניתוח להסרת הדורבן</li>
</ul>
</div>
","דורבן: צמיחת עצם בעקב הגורמת לכאב. טיפול כולל מתיחות, מדרסים ותרופות. ניתוח נדיר. אבחון באמצעות בדיקה והדמיה.",דורבן,109,805,5,,0
דלקות גידים ושרירים,דלקות גידים ושרירים,850,"<div class=""procedure-content"">
<h3 class=""procedure-head"">מהן דלקות גידים ושרירים?</h3>
<p class=""procedure-para"">דלקות גידים ושרירים הן מצבים כואבים הנגרמים מגירוי או פגיעה ברקמות הרכות סביב המפרקים.</p>
<h3 class=""procedure-head"">סוגים נפוצים</h3>
<ul class=""procedure-ul"">
<li class=""procedure-li"">טנדיניטיס (דלקת גידים)</li>
<li class=""procedure-li"">בורסיטיס (דלקת בכיס הסינוביאלי)</li>
<li class=""procedure-li"">מיוזיטיס (דלקת שרירים)</li>
</ul>
<h3 class=""procedure-head"">גורמים אפשריים</h3>
<ol class=""procedure-ol"">
<li class=""procedure-li"">שימוש יתר או תנועות חוזרניות</li>
<li class=""procedure-li"">פציעה או טראומה</li>
<li class=""procedure-li"">מחלות אוטואימוניות</li>
<li class=""procedure-li"">זיהומים</li>
</ol>
<h3 class=""procedure-head"">תסמינים</h3>
<p class=""procedure-para"">תסמינים נפוצים כוללים:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">כאב ורגישות באזור הפגוע</li>
<li class=""procedure-li"">נפיחות ואדמומיות</li>
<li class=""procedure-li"">הגבלה בתנועה</li>
<li class=""procedure-li"">חולשה בשריר או בגיד המעורב</li>
</ul>
<h3 class=""procedure-head"">אפשרויות טיפול</h3>
<p class=""procedure-para"">הטיפול בדלקות גידים ושרירים כולל:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">מנוחה והימנעות מפעילות מאומצת</li>
<li class=""procedure-li"">קירור והנחת קרח על האזור הפגוע</li>
<li class=""procedure-li"">תרופות נוגדות דלקת</li>
<li class=""procedure-li"">פיזיותרפיה ותרגילי מתיחה</li>
<li class=""procedure-li"">הזרקות סטרואידים במקרים מסוימים</li>
</ul>
</div>
","דלקות גידים ושרירים: מצבים כואבים ברקמות רכות. טיפול כולל מנוחה, קירור, תרופות ופיזיותרפיה. מניעה ע""י הימנעות משימוש יתר.",דלקות גידים ושרירים,121,850,19,,0
דלקות מפרקים,דלקות מפרקים,859,"<div class=""procedure-content"">
<h3 class=""procedure-head"">מהן דלקות מפרקים?</h3>
<p class=""procedure-para"">דלקות מפרקים הן קבוצת מחלות הגורמות לכאב, נפיחות וקושי בתנועה במפרקים.</p>
<h3 class=""procedure-head"">סוגים עיקריים</h3>
<ul class=""procedure-ul"">
<li class=""procedure-li"">אוסטאוארתריטיס (שחיקת מפרקים)</li>
<li class=""procedure-li"">דלקת מפרקים שגרונית</li>
<li class=""procedure-li"">דלקת מפרקים פסוריאטית</li>
<li class=""procedure-li"">גאוט</li>
</ul>
<h3 class=""procedure-head"">גורמי סיכון</h3>
<ol class=""procedure-ol"">
<li class=""procedure-li"">גיל מתקדם</li>
<li class=""procedure-li"">גורמים גנטיים</li>
<li class=""procedure-li"">עודף משקל</li>
<li class=""procedure-li"">פציעות קודמות במפרקים</li>
</ol>
<h3 class=""procedure-head"">תסמינים נפוצים</h3>
<p class=""procedure-para"">תסמינים של דלקות מפרקים כוללים:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">כאב ונוקשות במפרקים</li>
<li class=""procedure-li"">נפיחות ואדמומיות</li>
<li class=""procedure-li"">הגבלה בטווח התנועה</li>
<li class=""procedure-li"">חולשה ועייפות</li>
</ul>
<h3 class=""procedure-head"">אפשרויות טיפול</h3>
<p class=""procedure-para"">הטיפול בדלקות מפרקים מותאם אישית ועשוי לכלול:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">תרופות נוגדות דלקת וכאב</li>
<li class=""procedure-li"">תרופות ביולוגיות</li>
<li class=""procedure-li"">פיזיותרפיה וריפוי בעיסוק</li>
<li class=""procedure-li"">שינויים באורח החיים</li>
<li class=""procedure-li"">ניתוח במקרים מתקדמים</li>
</ul>
</div>
","דלקות מפרקים: מחלות הגורמות לכאב ונפיחות במפרקים. טיפול כולל תרופות, פיזיותרפיה ושינויי אורח חיים. אבחון מוקדם חשוב.",דלקות מפרקים,116,859,12,,0
דלקת מפרקים שיגרונית (Rheumatoid arthritis),דלקת מפרקים שיגרונית (Rheumatoid arthritis),872,"<div class=""procedure-content"">
<h3 class=""procedure-head"">מהי דלקת מפרקים שיגרונית?</h3>
<p class=""procedure-para"">דלקת מפרקים שיגרונית היא מחלה אוטואימונית כרונית הפוגעת במפרקים ולעתים באיברים נוספים בגוף.</p>
<h3 class=""procedure-head"">מאפיינים עיקריים</h3>
<ul class=""procedure-ul"">
<li class=""procedure-li"">דלקת סימטרית במפרקים</li>
<li class=""procedure-li"">נטייה לפגיעה במפרקים קטנים</li>
<li class=""procedure-li"">התקדמות הדרגתית של המחלה</li>
<li class=""procedure-li"">השפעה אפשרית על איברים נוספים</li>
</ul>
<h3 class=""procedure-head"">תסמינים</h3>
<ol class=""procedure-ol"">
<li class=""procedure-li"">כאב ונפיחות במפרקים</li>
<li class=""procedure-li"">נוקשות בוקר ממושכת</li>
<li class=""procedure-li"">עייפות וחולשה כללית</li>
<li class=""procedure-li"">חום נמוך ואובדן תיאבון</li>
</ol>
<h3 class=""procedure-head"">אבחון</h3>
<p class=""procedure-para"">אבחון דלקת מפרקים שיגרונית מתבסס על:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">בדיקה גופנית מקיפה</li>
<li class=""procedure-li"">בדיקות דם לזיהוי נוגדנים ומדדי דלקת</li>
<li class=""procedure-li"">הדמיה: רנטגן, MRI, אולטרסאונד</li>
</ul>
<h3 class=""procedure-head"">אפשרויות טיפול</h3>
<p class=""procedure-para"">הטיפול בדלקת מפרקים שיגרונית כולל:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">תרופות נוגדות דלקת (NSAIDs)</li>
<li class=""procedure-li"">תרופות משנות מחלה (DMARDs)</li>
<li class=""procedure-li"">תרופות ביולוגיות</li>
<li class=""procedure-li"">סטרואידים במינון נמוך</li>
<li class=""procedure-li"">פיזיותרפיה וריפוי בעיסוק</li>
</ul>
</div>
",דלקת מפרקים שיגרונית: מחלה אוטואימונית כרונית הפוגעת במפרקים. טיפול כולל תרופות ופיזיותרפיה. אבחון מוקדם חיוני למניעת נזק.,דלקת מפרקים שיגרונית (Rheumatoid arthritis),122,872,43,דלקת מפרקים שיגרונית,20
דלקת מקשחת של עמוד השדרה,דלקת מקשחת של עמוד השדרה,873,"<div class=""procedure-content"">
<h3 class=""procedure-head"">מהי דלקת מקשחת של עמוד השדרה?</h3>
<p class=""procedure-para"">דלקת מקשחת של עמוד השדרה (אנקילוזינג ספונדיליטיס) היא מחלה דלקתית כרונית הפוגעת בעיקר בעמוד השדרה ובמפרקי האגן.</p>
<h3 class=""procedure-head"">תסמינים עיקריים</h3>
<ul class=""procedure-ul"">
<li class=""procedure-li"">כאב וקשיחות בגב התחתון</li>
<li class=""procedure-li"">כאב בישבן ובמפרקי האגן</li>
<li class=""procedure-li"">עייפות כרונית</li>
<li class=""procedure-li"">הגבלה בתנועתיות עמוד השדרה</li>
</ul>
<h3 class=""procedure-head"">גורמי סיכון</h3>
<ol class=""procedure-ol"">
<li class=""procedure-li"">גורמים גנטיים (בעיקר הגן HLA-B27)</li>
<li class=""procedure-li"">גיל צעיר (בין 20 ל-40)</li>
<li class=""procedure-li"">מין זכר</li>
</ol>
<h3 class=""procedure-head"">אבחון</h3>
<p class=""procedure-para"">האבחון מתבסס על:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">היסטוריה רפואית ובדיקה גופנית</li>
<li class=""procedure-li"">בדיקות דם לזיהוי דלקת והגן HLA-B27</li>
<li class=""procedure-li"">הדמיה: רנטגן ו-MRI של עמוד השדרה ומפרקי האגן</li>
</ul>
<h3 class=""procedure-head"">אפשרויות טיפול</h3>
<p class=""procedure-para"">הטיפול מתמקד בהפחתת כאב, שמירה על תנועתיות ומניעת סיבוכים:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">תרופות נוגדות דלקת (NSAIDs)</li>
<li class=""procedure-li"">תרופות ביולוגיות</li>
<li class=""procedure-li"">פיזיותרפיה ותרגילי מתיחה</li>
<li class=""procedure-li"">שינויים באורח החיים (הפסקת עישון, פעילות גופנית)</li>
</ul>
</div>
","דלקת מקשחת של עמוד השדרה: מחלה דלקתית כרונית בעמוד השדרה. טיפול כולל תרופות, פיזיותרפיה ושינויי אורח חיים.",דלקת מקשחת של עמוד השדרה,106,873,24,,0
הארכת גפיים,הארכת גפיים,899,"<div class=""procedure-content"">
<h3 class=""procedure-head"">מהי הארכת גפיים?</h3>
<p class=""procedure-para"">הארכת גפיים היא הליך כירורגי המיועד להאריך עצמות ארוכות, בעיקר ברגליים, לצורך תיקון אי-שוויון באורך הגפיים או הגדלת הגובה.</p>
<h3 class=""procedure-head"">התוויות להליך</h3>
<ul class=""procedure-ul"">
<li class=""procedure-li"">אי-שוויון משמעותי באורך הרגליים</li>
<li class=""procedure-li"">ננסות</li>
<li class=""procedure-li"">מומים מולדים</li>
<li class=""procedure-li"">פגיעות טראומטיות</li>
</ul>
<h3 class=""procedure-head"">תהליך ההארכה</h3>
<ol class=""procedure-ol"">
<li class=""procedure-li"">חיתוך העצם (אוסטאוטומיה)</li>
<li class=""procedure-li"">התקנת מקבע חיצוני או פנימי</li>
<li class=""procedure-li"">הארכה הדרגתית של העצם</li>
<li class=""procedure-li"">תקופת התאחות והחלמה</li>
</ol>
<h3 class=""procedure-head"">סיכונים אפשריים</h3>
<p class=""procedure-para"">ההליך עלול לגרום לסיבוכים כגון:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">זיהומים</li>
<li class=""procedure-li"">נזק עצבי או כלי דם</li>
<li class=""procedure-li"">התאחות לא תקינה של העצם</li>
<li class=""procedure-li"">כאב ממושך</li>
</ul>
<h3 class=""procedure-head"">תהליך ההחלמה</h3>
<p class=""procedure-para"">ההחלמה כוללת:</p>
<ul class=""procedure-ul"">
<li class=""procedure-li"">פיזיותרפיה אינטנסיבית</li>
<li class=""procedure-li"">מעקב רפואי צמוד</li>
<li class=""procedure-li"">התאמות בחיי היומיום</li>
<li class=""procedure-li"">תמיכה נפשית</li>
</ul>
</div>
",הארכת גפיים: הליך כירורגי להארכת עצמות. משמש לתיקון אי-שוויון באורך הרגליים או הגדלת גובה. דורש החלמה ממושכת.,הארכת גפיים,109,899,11,,0
